Age,Male,Female,Male_SE,Female_SE
35,0.00182186,0.000537693,4.18264E-05,9.02685E-06
36,0.00182186,0.000537693,4.18264E-05,9.02685E-06
37,0.00182186,0.000537693,4.18264E-05,9.02685E-06
38,0.00182186,0.000537693,4.18264E-05,9.02685E-06
39,0.00182186,0.000537693,4.18264E-05,9.02685E-06
40,0.00332541,0.001011017,3.13747E-05,1.97926E-05
41,0.00332541,0.001011017,3.13747E-05,1.97926E-05
42,0.00332541,0.001011017,3.13747E-05,1.97926E-05
43,0.00332541,0.001011017,3.13747E-05,1.97926E-05
44,0.00332541,0.001011017,3.13747E-05,1.97926E-05
45,0.005322664,0.00170683,0.000125144,6.02916E-05
46,0.005322664,0.00170683,0.000125144,6.02916E-05
47,0.005322664,0.00170683,0.000125144,6.02916E-05
48,0.005322664,0.00170683,0.000125144,6.02916E-05
49,0.005322664,0.00170683,0.000125144,6.02916E-05
50,0.007885173,0.002873485,6.56204E-05,4.62113E-05
51,0.007885173,0.002873485,6.56204E-05,4.62113E-05
52,0.007885173,0.002873485,6.56204E-05,4.62113E-05
53,0.007885173,0.002873485,6.56204E-05,4.62113E-05
54,0.007885173,0.002873485,6.56204E-05,4.62113E-05
55,0.012390763,0.005198588,0.00012455,7.78779E-05
56,0.012390763,0.005198588,0.00012455,7.78779E-05
57,0.012390763,0.005198588,0.00012455,7.78779E-05
58,0.012390763,0.005198588,0.00012455,7.78779E-05
59,0.012390763,0.005198588,0.00012455,7.78779E-05
60,0.020531173,0.010530192,0.000344957,0.000259889
61,0.020531173,0.010530192,0.000344957,0.000259889
62,0.020531173,0.010530192,0.000344957,0.000259889
63,0.020531173,0.010530192,0.000344957,0.000259889
64,0.020531173,0.010530192,0.000344957,0.000259889
65,0.032895456,0.019442398,0.000509182,0.000312672
66,0.032895456,0.019442398,0.000509182,0.000312672
67,0.032895456,0.019442398,0.000509182,0.000312672
68,0.032895456,0.019442398,0.000509182,0.000312672
69,0.032895456,0.019442398,0.000509182,0.000312672
70,0.05921357,0.040324345,0.000563473,0.000621454
71,0.05921357,0.040324345,0.000563473,0.000621454
72,0.05921357,0.040324345,0.000563473,0.000621454
73,0.05921357,0.040324345,0.000563473,0.000621454
74,0.05921357,0.040324345,0.000563473,0.000621454
75,0.107500473,0.076221087,0.001161701,0.000959988
76,0.107500473,0.076221087,0.001161701,0.000959988
77,0.107500473,0.076221087,0.001161701,0.000959988
78,0.107500473,0.076221087,0.001161701,0.000959988
79,0.107500473,0.076221087,0.001161701,0.000959988
80,0.210108356,0.159222977,0.001418666,0.001707344
81,0.210108356,0.159222977,0.001418666,0.001707344
82,0.210108356,0.159222977,0.001418666,0.001707344
83,0.210108356,0.159222977,0.001418666,0.001707344
84,0.210108356,0.159222977,0.001418666,0.001707344
85,0.442223644,0.273874092,0.01084416,0.004300486
86,0.442223644,0.273874092,0.01084416,0.004300486
87,0.442223644,0.273874092,0.01084416,0.004300486
88,0.442223644,0.273874092,0.01084416,0.004300486
89,0.442223644,0.273874092,0.01084416,0.004300486
90,0.649029519,0.431567385,0.032006798,0.006894038
91,0.649029519,0.431567385,0.032006798,0.006894038
92,0.649029519,0.431567385,0.032006798,0.006894038
93,0.649029519,0.431567385,0.032006798,0.006894038
94,0.649029519,0.431567385,0.032006798,0.006894038
95,0.627218458,0.606523408,0.007982786,0.007542929
96,0.627218458,0.606523408,0.007982786,0.007542929
97,0.627218458,0.606523408,0.007982786,0.007542929
98,0.627218458,0.606523408,0.007982786,0.007542929
99,0.627218458,0.606523408,0.007982786,0.007542929
100,0.627218458,0.606523408,0.007982786,0.007542929
101,0.627218458,0.606523408,0.007982786,0.007542929
102,0.627218458,0.606523408,0.007982786,0.007542929
103,0.627218458,0.606523408,0.007982786,0.007542929
104,0.627218458,0.606523408,0.007982786,0.007542929
105,0.627218458,0.606523408,0.007982786,0.007542929
106,0.627218458,0.606523408,0.007982786,0.007542929
