Age,Male,Female,Male_SE,Female_SE
35,9.15993E-05,3.83336E-05,2.73685E-06,8.70549E-07
36,9.15993E-05,3.83336E-05,2.73685E-06,8.70549E-07
37,9.15993E-05,3.83336E-05,2.73685E-06,8.70549E-07
38,9.15993E-05,3.83336E-05,2.73685E-06,8.70549E-07
39,9.15993E-05,3.83336E-05,2.73685E-06,8.70549E-07
40,0.000172852,8.26143E-05,3.64576E-06,1.87384E-06
41,0.000172852,8.26143E-05,3.64576E-06,1.87384E-06
42,0.000172852,8.26143E-05,3.64576E-06,1.87384E-06
43,0.000172852,8.26143E-05,3.64576E-06,1.87384E-06
44,0.000172852,8.26143E-05,3.64576E-06,1.87384E-06
45,0.000429325,0.000238552,1.01688E-05,1.21548E-05
46,0.000429325,0.000238552,1.01688E-05,1.21548E-05
47,0.000429325,0.000238552,1.01688E-05,1.21548E-05
48,0.000429325,0.000238552,1.01688E-05,1.21548E-05
49,0.000429325,0.000238552,1.01688E-05,1.21548E-05
50,0.000711041,0.000485403,2.04377E-06,1.3651E-05
51,0.000711041,0.000485403,2.04377E-06,1.3651E-05
52,0.000711041,0.000485403,2.04377E-06,1.3651E-05
53,0.000711041,0.000485403,2.04377E-06,1.3651E-05
54,0.000711041,0.000485403,2.04377E-06,1.3651E-05
55,0.00118541,0.000986026,7.11609E-06,2.79476E-05
56,0.00118541,0.000986026,7.11609E-06,2.79476E-05
57,0.00118541,0.000986026,7.11609E-06,2.79476E-05
58,0.00118541,0.000986026,7.11609E-06,2.79476E-05
59,0.00118541,0.000986026,7.11609E-06,2.79476E-05
60,0.002033567,0.002103936,2.21822E-05,7.00579E-05
61,0.002033567,0.002103936,2.21822E-05,7.00579E-05
62,0.002033567,0.002103936,2.21822E-05,7.00579E-05
63,0.002033567,0.002103936,2.21822E-05,7.00579E-05
64,0.002033567,0.002103936,2.21822E-05,7.00579E-05
65,0.003407092,0.003708736,2.65754E-05,6.42492E-05
66,0.003407092,0.003708736,2.65754E-05,6.42492E-05
67,0.003407092,0.003708736,2.65754E-05,6.42492E-05
68,0.003407092,0.003708736,2.65754E-05,6.42492E-05
69,0.003407092,0.003708736,2.65754E-05,6.42492E-05
70,0.005851002,0.006477697,3.87841E-05,5.86462E-05
71,0.005851002,0.006477697,3.87841E-05,5.86462E-05
72,0.005851002,0.006477697,3.87841E-05,5.86462E-05
73,0.005851002,0.006477697,3.87841E-05,5.86462E-05
74,0.005851002,0.006477697,3.87841E-05,5.86462E-05
75,0.009373375,0.00960515,1.36225E-05,0.000114187
76,0.009373375,0.00960515,1.36225E-05,0.000114187
77,0.009373375,0.00960515,1.36225E-05,0.000114187
78,0.009373375,0.00960515,1.36225E-05,0.000114187
79,0.009373375,0.00960515,1.36225E-05,0.000114187
80,0.014370144,0.0126849,0.000105482,0.000116172
81,0.014370144,0.0126849,0.000105482,0.000116172
82,0.014370144,0.0126849,0.000105482,0.000116172
83,0.014370144,0.0126849,0.000105482,0.000116172
84,0.014370144,0.0126849,0.000105482,0.000116172
85,0.027359624,0.015185716,0.000455976,5.90155E-05
86,0.027359624,0.015185716,0.000455976,5.90155E-05
87,0.027359624,0.015185716,0.000455976,5.90155E-05
88,0.027359624,0.015185716,0.000455976,5.90155E-05
89,0.027359624,0.015185716,0.000455976,5.90155E-05
90,0.035872191,0.017151761,0.000723726,0.000311663
91,0.035872191,0.017151761,0.000723726,0.000311663
92,0.035872191,0.017151761,0.000723726,0.000311663
93,0.035872191,0.017151761,0.000723726,0.000311663
94,0.035872191,0.017151761,0.000723726,0.000311663
95,0.028963851,0.021172181,0.001009837,5.76E-04
96,0.028963851,0.021172181,0.001009837,5.76E-04
97,0.028963851,0.021172181,0.001009837,5.76E-04
98,0.028963851,0.021172181,0.001009837,5.76E-04
99,0.028963851,0.021172181,0.001009837,5.76E-04
100,0.028963851,0.021172181,0.001009837,5.76E-04
