Age,Male,Female,Male_SE,Female_SE
35,0.014094069,0.006351938,0.000400504,0.000188579
36,0.014094069,0.006351938,0.000400504,0.000188579
37,0.014094069,0.006351938,0.000400504,0.000188579
38,0.014094069,0.006351938,0.000400504,0.000188579
39,0.014094069,0.006351938,0.000400504,0.000188579
40,0.020565767,0.009566506,0.000557782,0.000285557
41,0.020565767,0.009566506,0.000557782,0.000285557
42,0.020565767,0.009566506,0.000557782,0.000285557
43,0.020565767,0.009566506,0.000557782,0.000285557
44,0.020565767,0.009566506,0.000557782,0.000285557
45,0.028951358,0.013026014,0.001007507,0.000497576
46,0.028951358,0.013026014,0.001007507,0.000497576
47,0.028951358,0.013026014,0.001007507,0.000497576
48,0.028951358,0.013026014,0.001007507,0.000497576
49,0.028951358,0.013026014,0.001007507,0.000497576
50,0.039022357,0.019470697,0.000849893,0.000429718
51,0.039022357,0.019470697,0.000849893,0.000429718
52,0.039022357,0.019470697,0.000849893,0.000429718
53,0.039022357,0.019470697,0.000849893,0.000429718
54,0.039022357,0.019470697,0.000849893,0.000429718
55,0.059361514,0.030446877,0.001383763,0.000800095
56,0.059361514,0.030446877,0.001383763,0.000800095
57,0.059361514,0.030446877,0.001383763,0.000800095
58,0.059361514,0.030446877,0.001383763,0.000800095
59,0.059361514,0.030446877,0.001383763,0.000800095
60,0.092996583,0.048347321,0.002672529,0.001511812
61,0.092996583,0.048347321,0.002672529,0.001511812
62,0.092996583,0.048347321,0.002672529,0.001511812
63,0.092996583,0.048347321,0.002672529,0.001511812
64,0.092996583,0.048347321,0.002672529,0.001511812
65,0.137375019,0.074659106,0.003521844,0.002091006
66,0.137375019,0.074659106,0.003521844,0.002091006
67,0.137375019,0.074659106,0.003521844,0.002091006
68,0.137375019,0.074659106,0.003521844,0.002091006
69,0.137375019,0.074659106,0.003521844,0.002091006
70,0.214960333,0.126570227,0.004683356,0.003509943
71,0.214960333,0.126570227,0.004683356,0.003509943
72,0.214960333,0.126570227,0.004683356,0.003509943
73,0.214960333,0.126570227,0.004683356,0.003509943
74,0.214960333,0.126570227,0.004683356,0.003509943
75,0.32484854,0.202739272,0.008272017,0.006323745
76,0.32484854,0.202739272,0.008272017,0.006323745
77,0.32484854,0.202739272,0.008272017,0.006323745
78,0.32484854,0.202739272,0.008272017,0.006323745
79,0.32484854,0.202739272,0.008272017,0.006323745
