Predictors,Age_group,DEMO,APC,APC_SE
BMI,1,Male,0.1694531,0
BMI,1,Female,0.5522566,0
BMI,2,Male,0.1972224,0
BMI,2,Female,0.3714725,0
BMI,3,Male,-0.6838996,0
BMI,3,Female,0.0713383,0
BMI,4,Male,0.0757877,0
BMI,4,Female,-0.00901,0
BMI,5,Male,-0.2127971,0
BMI,5,Female,-0.1680211,0
BMI,6,Male,0.1264129,0
BMI,6,Female,0.2200013,0
BMI,7,Male,-0.2175022,0
BMI,7,Female,-0.4390981,0
BMI,8,Male,-0.3652739,0
BMI,8,Female,-0.442864,0
BMI,9,Male,-0.583661,0
BMI,9,Female,-1.0206009,0
BMI,10,Male,-0.0965264,0
BMI,10,Female,0.8802391,0
SBP,1,Male,0.3780816,0
SBP,1,Female,0.7840763,0
SBP,2,Male,0.5715385,0
SBP,2,Female,0.4896685,0
SBP,3,Male,0.3209652,0
SBP,3,Female,0.753454,0
SBP,4,Male,0.1178475,0
SBP,4,Female,0.5519374,0
SBP,5,Male,0.6008312,0
SBP,5,Female,0.5482383,0
SBP,6,Male,0.4864263,0
SBP,6,Female,0.4922434,0
SBP,7,Male,0.0272378,0
SBP,7,Female,0.4768341,0
SBP,8,Male,0.5577121,0
SBP,8,Female,0.6793655,0
SBP,9,Male,0.4855413,0
SBP,9,Female,0.297644,0
SBP,10,Male,-0.0930094,0
SBP,10,Female,-0.4821821,0
TC,1,Male,0.2626114,0
TC,1,Female,0.9485586,0
TC,2,Male,0.6664105,0
TC,2,Female,1.0860469,0
TC,3,Male,-0.0663874,0
TC,3,Female,1.3454492,0
TC,4,Male,-0.4434753,0
TC,4,Female,0.1604322,0
TC,5,Male,-0.0287545,0
TC,5,Female,0.1817252,0
TC,6,Male,-0.2419306,0
TC,6,Female,-0.0944299,0
TC,7,Male,-0.3090805,0
TC,7,Female,-0.0343414,0
TC,8,Male,0.3738034,0
TC,8,Female,0.1189492,0
TC,9,Male,-0.9058096,0
TC,9,Female,-0.3666503,0
TC,10,Male,1.5034817,0
TC,10,Female,-0.566629,0
SMOKING,1,Male,-1.7172956,0
SMOKING,1,Female,10.4314706,0
SMOKING,2,Male,-0.8996663,0
SMOKING,2,Female,9.021334,0
SMOKING,3,Male,-2.4129798,0
SMOKING,3,Female,11.9525013,0
SMOKING,4,Male,-2.6153862,0
SMOKING,4,Female,3.7287139,0
SMOKING,5,Male,-3.2963751,0
SMOKING,5,Female,5.3641652,0
SMOKING,6,Male,-0.9600471,0
SMOKING,6,Female,-2.890686,0
SMOKING,7,Male,-3.4755704,0
SMOKING,7,Female,11.4553157,0
SMOKING,8,Male,-4.2289509,0
SMOKING,8,Female,-8.3036074,0
SMOKING,9,Male,-5.0801797,0
SMOKING,9,Female,0.3946709,0
SMOKING,10,Male,-9.541389,0
SMOKING,10,Female,-10.4843462,0
HDL_C,1,Male,0.5614257,0
HDL_C,1,Female,-0.2414015,0
HDL_C,2,Male,0.1734116,0
HDL_C,2,Female,0.7261872,0
HDL_C,3,Male,0.1768896,0
HDL_C,3,Female,0.5285155,0
HDL_C,4,Male,0.0313314,0
HDL_C,4,Female,-1.0142475,0
HDL_C,5,Male,0.6783734,0
HDL_C,5,Female,0.066673,0
HDL_C,6,Male,-0.1569891,0
HDL_C,6,Female,0.5981539,0
HDL_C,7,Male,-0.9849729,0
HDL_C,7,Female,-0.0641361,0
HDL_C,8,Male,0.4930067,0
HDL_C,8,Female,0.2723243,0
HDL_C,9,Male,1.7554809,0
HDL_C,9,Female,0.4450856,0
HDL_C,10,Male,1.1062432,0
HDL_C,10,Female,0.4747263,0
DM,1,Male,10.4393273,0
DM,1,Female,27.0870688,0
DM,2,Male,18.7253068,0
DM,2,Female,6.542599,0
DM,3,Male,1.6746942,0
DM,3,Female,7.1095223,0
DM,4,Male,6.0935687,0
DM,4,Female,10.3845645,0
DM,5,Male,4.8821288,0
DM,5,Female,24.9759041,0
DM,6,Male,6.2758689,0
DM,6,Female,-3.094179,0
DM,7,Male,-6.1998912,0
DM,7,Female,3.6322542,0
DM,8,Male,-2.4282748,0
DM,8,Female,4.1840974,0
DM,9,Male,-10.1496259,0
DM,9,Female,-3.0130261,0
DM,10,Male,-100,0
DM,10,Female,-13.7222132,0
WBC,1,Male,0.8372376,0
WBC,1,Female,0.3369303,0
WBC,2,Male,-0.7383207,0
WBC,2,Female,-0.1248044,0
WBC,3,Male,-0.2443728,0
WBC,3,Female,-0.7641913,0
WBC,4,Male,-0.1924886,0
WBC,4,Female,-0.0789205,0
WBC,5,Male,-0.0266481,0
WBC,5,Female,0.6743404,0
WBC,6,Male,-0.7635329,0
WBC,6,Female,0.4253509,0
WBC,7,Male,0.7904416,0
WBC,7,Female,0.8674493,0
WBC,8,Male,-0.4343453,0
WBC,8,Female,0.1129804,0
WBC,9,Male,0.6447353,0
WBC,9,Female,-1.310705,0
WBC,10,Male,-2.8529265,0
WBC,10,Female,-0.8399159,0
TG,1,Male,-0.4874601,0
TG,1,Female,2.9786486,0
TG,2,Male,1.0002756,0
TG,2,Female,0.945512,0
TG,3,Male,-2.6290483,0
TG,3,Female,1.7231752,0
TG,4,Male,-0.2935318,0
TG,4,Female,2.4005215,0
TG,5,Male,-1.9776408,0
TG,5,Female,-0.8856556,0
TG,6,Male,-2.6744277,0
TG,6,Female,-0.1625693,0
TG,7,Male,0.4634735,0
TG,7,Female,-1.1031892,0
TG,8,Male,-0.822238,0
TG,8,Female,-0.7062465,0
TG,9,Male,-3.8546408,0
TG,9,Female,-0.1542347,0
TG,10,Male,1.3502626,0
TG,10,Female,-2.1974003,0
GLUCOSE,1,Male,0.5852002,0
GLUCOSE,1,Female,0.6539444,0
GLUCOSE,2,Male,0.5380142,0
GLUCOSE,2,Female,0.4538967,0
GLUCOSE,3,Male,-0.2585786,0
GLUCOSE,3,Female,0.4340231,0
GLUCOSE,4,Male,0.4749336,0
GLUCOSE,4,Female,0.2853334,0
GLUCOSE,5,Male,0.2327194,0
GLUCOSE,5,Female,0.9944394,0
GLUCOSE,6,Male,-0.1272931,0
GLUCOSE,6,Female,-0.4209054,0
GLUCOSE,7,Male,0.6467489,0
GLUCOSE,7,Female,0.6580663,0
GLUCOSE,8,Male,-0.8393447,0
GLUCOSE,8,Female,0.1086358,0
GLUCOSE,9,Male,-0.3638455,0
GLUCOSE,9,Female,0.1838974,0
GLUCOSE,10,Male,-0.2718564,0
GLUCOSE,10,Female,-1.1794131,0
