Age,Male,Female,Male_SE,Female_SE
35,0.001655968,0.000595496,2.27272E-05,2.19479E-05
36,0.001655968,0.000595496,2.27272E-05,2.19479E-05
37,0.001655968,0.000595496,2.27272E-05,2.19479E-05
38,0.001655968,0.000595496,2.27272E-05,2.19479E-05
39,0.001655968,0.000595496,2.27272E-05,2.19479E-05
40,0.003296113,0.001306776,6.22245E-05,5.76681E-05
41,0.003296113,0.001306776,6.22245E-05,5.76681E-05
42,0.003296113,0.001306776,6.22245E-05,5.76681E-05
43,0.003296113,0.001306776,6.22245E-05,5.76681E-05
44,0.003296113,0.001306776,6.22245E-05,5.76681E-05
45,0.005699546,0.002403301,0.000213012,0.000137341
46,0.005699546,0.002403301,0.000213012,0.000137341
47,0.005699546,0.002403301,0.000213012,0.000137341
48,0.005699546,0.002403301,0.000213012,0.000137341
49,0.005699546,0.002403301,0.000213012,0.000137341
50,0.009147469,0.004553348,0.000214282,0.000167139
51,0.009147469,0.004553348,0.000214282,0.000167139
52,0.009147469,0.004553348,0.000214282,0.000167139
53,0.009147469,0.004553348,0.000214282,0.000167139
54,0.009147469,0.004553348,0.000214282,0.000167139
55,0.015467437,0.008014717,0.000391954,0.000321576
56,0.015467437,0.008014717,0.000391954,0.000321576
57,0.015467437,0.008014717,0.000391954,0.000321576
58,0.015467437,0.008014717,0.000391954,0.000321576
59,0.015467437,0.008014717,0.000391954,0.000321576
60,0.028401988,0.015351697,0.000988001,0.000706586
61,0.028401988,0.015351697,0.000988001,0.000706586
62,0.028401988,0.015351697,0.000988001,0.000706586
63,0.028401988,0.015351697,0.000988001,0.000706586
64,0.028401988,0.015351697,0.000988001,0.000706586
65,0.049235784,0.028482369,0.001499176,0.00104618
66,0.049235784,0.028482369,0.001499176,0.00104618
67,0.049235784,0.028482369,0.001499176,0.00104618
68,0.049235784,0.028482369,0.001499176,0.00104618
69,0.049235784,0.028482369,0.001499176,0.00104618
70,0.090627553,0.056679022,0.002241781,0.001818532
71,0.090627553,0.056679022,0.002241781,0.001818532
72,0.090627553,0.056679022,0.002241781,0.001818532
73,0.090627553,0.056679022,0.002241781,0.001818532
74,0.090627553,0.056679022,0.002241781,0.001818532
75,0.156587671,0.101741492,0.004049986,0.003710243
76,0.156587671,0.101741492,0.004049986,0.003710243
77,0.156587671,0.101741492,0.004049986,0.003710243
78,0.156587671,0.101741492,0.004049986,0.003710243
79,0.156587671,0.101741492,0.004049986,0.003710243
80,0.260603972,0.185403836,0.00816353,0.007596631
81,0.260603972,0.185403836,0.00816353,0.007596631
82,0.260603972,0.185403836,0.00816353,0.007596631
83,0.260603972,0.185403836,0.00816353,0.007596631
84,0.260603972,0.185403836,0.00816353,0.007596631
85,0.465368902,0.270508051,0.01629771,0.011814766
86,0.465368902,0.270508051,0.01629771,0.011814766
87,0.465368902,0.270508051,0.01629771,0.011814766
88,0.465368902,0.270508051,0.01629771,0.011814766
89,0.465368902,0.270508051,0.01629771,0.011814766
90,0.58548336,0.352633864,0.030046071,0.014404782
91,0.58548336,0.352633864,0.030046071,0.014404782
92,0.58548336,0.352633864,0.030046071,0.014404782
93,0.58548336,0.352633864,0.030046071,0.014404782
94,0.58548336,0.352633864,0.030046071,0.014404782
95,0.494744343,0.449985524,0.01395353,0.017468818
96,0.494744343,0.449985524,0.01395353,0.017468818
97,0.494744343,0.449985524,0.01395353,0.017468818
98,0.494744343,0.449985524,0.01395353,0.017468818
99,0.494744343,0.449985524,0.01395353,0.017468818
100,0.494744343,0.449985524,0.01395353,0.017468818
101,0.494744343,0.449985524,0.01395353,0.017468818
102,0.494744343,0.449985524,0.01395353,0.017468818
103,0.494744343,0.449985524,0.01395353,0.017468818
104,0.494744343,0.449985524,0.01395353,0.017468818
105,0.494744343,0.449985524,0.01395353,0.017468818
106,0.494744343,0.449985524,0.01395353,0.017468818
107,0.494744343,0.449985524,0.01395353,0.017468818
108,0.494744343,0.449985524,0.01395353,0.017468818
109,0.494744343,0.449985524,0.01395353,0.017468818
110,0.494744343,0.449985524,0.01395353,0.017468818
111,0.494744343,0.449985524,0.01395353,0.017468818
112,0.494744343,0.449985524,0.01395353,0.017468818
113,0.494744343,0.449985524,0.01395353,0.017468818
114,0.494744343,0.449985524,0.01395353,0.017468818
115,0.494744343,0.449985524,0.01395353,0.017468818
116,0.494744343,0.449985524,0.01395353,0.017468818
117,0.494744343,0.449985524,0.01395353,0.017468818
118,0.494744343,0.449985524,0.01395353,0.017468818
119,0.494744343,0.449985524,0.01395353,0.017468818
120,0.494744343,0.449985524,0.01395353,0.017468818
121,0.494744343,0.449985524,0.01395353,0.017468818
122,0.494744343,0.449985524,0.01395353,0.017468818
123,0.494744343,0.449985524,0.01395353,0.017468818
