"GENDER","AGE_GROUP","BMI.mean","BMI.sd","SBP.mean","SBP.sd","TC.mean","TC.sd","SMOKING.mean","SMOKING.sd","HDL_C.mean","HDL_C.sd","DM.mean","DM.sd","WBC.mean","WBC.sd","TG.mean","TG.sd","GLUCOSE.mean","GLUCOSE.sd"
1,"[35,40)",23.618591, 3.468597,119.216533, 13.048547,4.7781333,0.9897958,0.626666667,0.483754029,1.33370667,0.55897237,0.008000000,0.089096110,6.6083867,1.7556623,2.0576267,2.2098534,5.2631627,1.4286135
2,"[35,40)",23.007954, 3.501072,112.757767, 15.089501,4.3921077,0.8179606,0.009367681,0.096343665,1.43943794,0.32933867,0.002341920,0.048342353,6.0659813,1.6630745,1.2841920,1.1274482,5.0186534,1.0017655
1,"[40,45)",23.849104, 3.327609,121.542019, 14.124054,4.8626761,0.9715613,0.633802817,0.481820819,1.37330986,0.48885161,0.014084507,0.117853274,6.8639859,2.4342487,2.0019249,1.8001376,5.3998075,1.4965058
2,"[40,45)",23.634467, 3.258634,117.266221, 14.384923,4.6112405,0.8474005,0.017175573,0.129937656,1.42746183,0.33248595,0.007824427,0.088117465,6.1328435,1.7161543,1.4695229,1.2625052,5.1751450,0.8718450
1,"[45,50)",24.191402, 3.374165,124.711302, 15.209684,5.0147425,1.0407534,0.675965665,0.468063135,1.40233906,0.86271378,0.034334764,0.182107124,6.6036481,1.7732491,2.1091845,1.7790773,5.5922918,1.7058926
2,"[45,50)",24.058783, 3.410610,120.487071, 16.051184,4.8423713,0.9267318,0.025735294,0.158359081,1.48025735,0.43735773,0.011029412,0.104449841,6.1043015,2.0306978,1.5494669,1.3876514,5.3054338,1.1674268
1,"[50,55)",23.412818, 3.118363,126.721954, 16.091728,4.9847791,1.0098334,0.653614458,0.475865601,1.41287149,0.44615560,0.034136546,0.181598085,6.5126084,1.7045680,1.8733534,1.6647430,5.5285261,1.5866378
2,"[50,55)",24.088856, 3.291376,125.060832, 17.443254,5.1560335,1.0296381,0.044692737,0.206647644,1.52031657,0.77058519,0.014897579,0.121154342,5.8577318,1.6938376,1.6837989,1.2450560,5.3971490,1.3322651
1,"[55,60)",23.535481, 3.184988,127.786787, 17.141628,4.9069618,0.9423596,0.641851107,0.479504459,1.42046278,0.42236860,0.044265594,0.205705286,6.4234004,1.6745803,1.8409457,1.9163566,5.6408612,1.8008768
2,"[55,60)",24.091675, 3.341470,128.577432, 20.529911,5.2054404,0.9905513,0.051813472,0.221669399,1.44690846,0.36769338,0.024179620,0.153619796,5.8099482,1.6137399,1.8753022,1.4069478,5.4987306,1.5173191
1,"[60,65)",23.247360, 3.257760,131.894813, 18.679849,4.8802806,0.9396232,0.608163265,0.488222812,1.44520408,0.56789540,0.056122449,0.230187395,6.4472066,2.6530559,1.6969133,1.5108448,5.7312219,1.9571906
2,"[60,65)",23.881725, 3.560364,132.051335, 19.815219,5.2670252,1.0685096,0.073226545,0.260537811,1.45459954,0.39799065,0.071167048,0.257133096,6.0258124,1.8131873,1.8039817,1.3956999,5.7121922,1.9093690
1,"[65,70)",23.331704, 3.527927,135.109663, 19.424225,4.8352443,0.8817960,0.644951140,0.478606081,1.44228013,0.40873727,0.071661238,0.257968179,6.2204007,1.7685357,1.4648208,1.0893675,5.6974104,1.5843356
2,"[65,70)",24.068819, 3.878980,134.792308, 20.160019,5.2863545,0.9870763,0.063545151,0.243981706,1.50127090,0.66600610,0.056856187,0.231606350,6.1156789,1.8540154,1.7969231,1.1502166,5.5715753,1.1502015
1,"[70,75)",22.987008, 3.710739,135.041156, 19.217534,4.7694898,0.8475161,0.607142857,0.488510148,1.37367347,0.36823985,0.056122449,0.230216768,6.5071071,1.8156226,1.5174490,0.9185945,5.8661684,2.2706355
2,"[70,75)",23.561937, 3.839064,137.687529, 19.559289,5.2792308,1.0218960,0.108391608,0.310928723,1.49199301,0.36774253,0.066433566,0.249081996,6.3970280,2.9301918,1.6784965,1.2937472,5.7384790,1.4385984
1,"[75,80)",22.449723, 3.817220,138.603012, 21.005063,4.8530120,0.9850525,0.518072289,0.499823858,1.41813253,0.39126787,0.042168675,0.201034385,6.4025542,1.7191272,1.4751807,0.9845918,5.5734337,1.0934927
2,"[75,80)",23.106627, 4.086593,142.968530, 22.667562,5.3162733,1.0203936,0.068322981,0.252377720,1.50273292,0.37739249,0.086956522,0.281858882,6.4672981,3.5065946,1.6222981,0.8373938,5.7743043,1.4736767
1,"[80,85)",21.843097, 3.763173,142.018018, 21.495570,4.6328378,0.7496675,0.432432432,0.495748667,1.52608108,0.63362227,0.027027027,0.162271842,6.5375000,2.0466086,1.1997297,0.8696086,5.4858108,1.2132888
2,"[80,85)",22.062380, 3.684531,144.788889, 25.422806,5.2177381,1.0126440,0.071428571,0.257692811,1.54809524,0.38095444,0.075000000,0.263548265,6.1922619,1.9126574,1.6278571,1.1070239,5.8609762,2.0229935
1,"[85,90)",21.662873, 2.426422,142.240741, 18.367855,4.9711111,0.8645720,0.277777778,0.449152592,1.59388889,0.36543597,0.000000000,0.000000000,5.6083333,1.4367999,1.2933333,0.7717643,5.3794444,1.1397055
2,"[85,90)",22.945661, 3.752967,141.210256, 24.219313,5.0346154,0.9637613,0.038461538,0.192678585,1.57384615,0.29290288,0.038461538,0.192678585,5.9019231,1.7528532,1.4369231,0.7245436,5.5472308,0.9879478
1,"[90,95)",20.386946, 0.725166,161.000000,  1.025978,5.3700000,0.1333772,0.500000000,0.512989176,1.43000000,0.08207827,0.000000000,0.000000000,6.9000000,0.4103913,1.8900000,0.6463664,8.2200000,3.1702731
2,"[90,95)",20.874791, 2.079505,136.066667, 22.938743,4.7300000,0.3934152,0.200000000,0.404061018,1.56800000,0.31045720,0.000000000,0.000000000,5.2500000,0.8192580,1.2300000,0.4941701,5.1880000,0.3944720
2,"[95,Inf)",17.371051, 0.000000,134.666667,  0.000000,5.5100000,0.0000000,0.000000000,0.000000000,1.65000000,0.00000000,0.000000000,0.000000000,4.3900000,0.0000000,1.5700000,0.0000000,7.7490000,0.0000000
