"GENDER","AGE_GROUP","BMI.mean","BMI.sd","SBP.mean","SBP.sd","TC.mean","TC.sd","SMOKING.mean","SMOKING.sd","HDL_C.mean","HDL_C.sd","DM.mean","DM.sd","WBC.mean","WBC.sd","TG.mean","TG.sd","GLUCOSE.mean","GLUCOSE.sd"
1,"[45,50)",24.0762336, 3.3733941,124.638027, 15.359494,5.0121015,1.0363267,0.60232237,0.38276756,1.4035104,0.8775198,0.038885943,0.182929816,6.5649276,1.8061855,2.1145163,1.7760908,5.6018963,1.7165245
2,"[45,50)",24.0431749, 3.4168149,120.590404, 16.141975,4.8420793,0.9314030,0.02349126,0.15803159,1.4755171,0.4345435,0.009726849,0.106692345,6.1271680,2.0143038,1.5620513,1.3930147,5.3334042,1.1716998
1,"[50,55)",23.4337150, 3.1185243,126.179076, 16.049126,5.0052551,0.9958577,0.59161922,0.38125799,1.4151219,0.4504749,0.030272229,0.181823385,6.5090025,1.7066710,1.8831388,1.6707358,5.5216912,1.5710933
2,"[50,55)",24.0742597, 3.2514141,124.932682, 17.415143,5.1701388,1.0225294,0.04711611,0.20606552,1.5184226,0.7759874,0.015782987,0.121262481,5.8456458,1.6885386,1.6715826,1.2411720,5.3798348,1.3553638
1,"[55,60)",23.5754904, 3.1695530,127.603526, 17.068793,4.9170414,0.9569113,0.58408436,0.38467209,1.4248715,0.4213543,0.044483482,0.207083060,6.4651375,1.6727184,1.8352898,1.9288361,5.6262826,1.7734406
2,"[55,60)",24.1483906, 3.3786635,128.617719, 20.608362,5.2256245,0.9941912,0.05242013,0.22609662,1.4466572,0.3643392,0.025005161,0.155277278,5.8260154,1.5929553,1.8796517,1.4248613,5.5265456,1.4973329
1,"[60,65)",23.1767589, 3.3247479,131.613161, 18.871492,4.8663464,0.9514265,0.54146600,0.40447030,1.4382202,0.5663862,0.054003297,0.231756754,6.4748136,2.6335881,1.7155896,1.5232401,5.7321206,1.9440487
2,"[60,65)",23.8671563, 3.5384176,132.025270, 19.826572,5.2584880,1.0757525,0.07538636,0.26750410,1.4522804,0.3971742,0.071560524,0.260415286,6.0535710,1.7982840,1.8243526,1.4034765,5.6818129,1.8957377
1,"[65,70)",23.3407676, 3.5375013,135.392149, 20.004113,4.8371832,0.8771820,0.58110476,0.38276508,1.4498247,0.4077907,0.074588544,0.254042456,6.2036297,1.7664078,1.4539158,1.0865713,5.6659850,1.5914868
2,"[65,70)",24.0777888, 3.8501181,134.883374, 20.238102,5.2733156,0.9920585,0.05802277,0.24465429,1.4964830,0.6638536,0.059176960,0.229835216,6.0979790,1.8652662,1.7884635,1.1544582,5.6109951,1.1510164
1,"[70,75)",22.9939460, 3.6665919,135.500556, 18.771186,4.7567323,0.8335259,0.55038089,0.40601988,1.3637091,0.3583616,0.054404396,0.230642423,6.5315529,1.8551161,1.5153584,0.9267910,5.9141232,2.2814307
2,"[70,75)",23.6379125, 3.9028792,138.212652, 19.362160,5.2335227,1.0166220,0.10786509,0.30525860,1.4905330,0.3665735,0.070675257,0.251317982,6.4592705,2.9650941,1.6699960,1.2788175,5.7652573,1.4265533
1,"[75,80)",22.4720192, 3.7838145,139.077883, 20.943201,4.8621649,0.9953942,0.46648491,0.43001726,1.4115934,0.3909696,0.041614617,0.199641729,6.3586274,1.7171014,1.4531224,0.9738015,5.5612012,1.0913832
2,"[75,80)",23.0886087, 4.1016297,143.373283, 22.867409,5.3143291,1.0417028,0.06921353,0.25246626,1.5073200,0.3720448,0.088539113,0.276638998,6.4535898,3.5262141,1.6361963,0.8423096,5.7936123,1.4761769
1,"[80,85)",21.9099648, 3.6467591,142.272190, 21.901333,4.6625561,0.7307642,0.39976735,0.44323364,1.5495803,0.6206775,0.027509361,0.159638450,6.5680921,2.1025328,1.2105030,0.8403016,5.4234435,1.2055735
2,"[80,85)",22.0069334, 3.6793583,144.368422, 25.295135,5.1934608,1.0111742,0.07568584,0.25889312,1.5525586,0.3836682,0.076331286,0.269278621,6.1536751,1.9077439,1.6255612,1.1184636,5.8600866,2.0367097
1,"[85,90)",21.7467207, 2.3968066,143.020296, 18.375792,4.9673163,0.8828192,0.25654191,0.42445539,1.5949062,0.3665751,0.000000000,0.000000000,5.6172724,1.4337048,1.3176261,0.7688143,5.3919376,1.1245159
2,"[85,90)",22.8833199, 3.7244419,141.277401, 24.348244,5.0222820,0.9545972,0.03423230,0.19505740,1.5787915,0.2851113,0.032559155,0.190958818,5.8710556,1.7841862,1.3987381,0.7449652,5.5193225,0.9945328
1,"[90,95)",20.3850790, 0.7269015,160.976722,  1.018131,5.3670173,0.1310743,0.44861197,0.44905555,1.4306861,0.0820614,0.000000000,0.000000000,6.8905328,0.4036171,1.9054566,0.6215560,8.1534287,3.1369105
2,"[90,95)",20.9329561, 2.0809586,136.181651, 23.376994,4.7450884,0.4071537,0.20017060,0.38598250,1.5800257,0.3101535,0.000000000,0.000000000,5.2389194,0.8101849,1.2397607,0.4924873,5.1987640,0.3830526
2,"[95,Inf)",17.3710505, 0.0000000,134.666667,  0.000000,5.5100000,0.0000000,0.00000000,0.00000000,1.6500000,0.0000000,0.000000000,0.000000000,4.3900000,0.0000000,1.5700000,0.0000000,7.7490000,0.0000000
