"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"1","Subject_ID",0,0,0,0,0,0,1,"age_cat"
"2","Incident DM",0.000672028953191794,0.000609065688026408,0.00073499221835718,0.000605191487534136,-0.000514146362375112,0.0018582042687587,1,"age_cat"
"3","Incident CHD",0.0192228447606775,0.0179465829600811,0.0204991065612739,0.00874531553857793,0.00208202630506476,0.0363636632162902,1,"age_cat"
"4","Incident Stroke",-0.0193623451920859,-0.0204974041189003,-0.0182272862652716,0.00870656004738172,-0.0364272028849541,-0.00229748749921774,1,"age_cat"
"5","Incident First CHD",0.0192228447606775,0.0179465829600811,0.0204991065612739,0.00874531553857793,0.00208202630506476,0.0363636632162902,1,"age_cat"
"6","Incident First Stroke",-0.0193623451920859,-0.0204974041189003,-0.0182272862652716,0.00870656004738172,-0.0364272028849541,-0.00229748749921774,1,"age_cat"
"7","Incident Recurrent CHD",0,0,0,0,0,0,1,"age_cat"
"8","Incident Recurrent Stroke",0,0,0,0,0,0,1,"age_cat"
"9","Death",-0.000574652149158112,-0.000612874311768764,-0.00053642998654746,0.000340157462757092,-0.00124136077616201,9.20564778457877e-05,1,"age_cat"
"10","CHD_Death",0,0,0,0,0,0,1,"age_cat"
"11","Stroke_Death",0,0,0,0,0,0,1,"age_cat"
"12","DM_Death",0,0,0,0,0,0,1,"age_cat"
"13","Non_DM_Non_CVD_Death",-0.000574652149158112,-0.000612874311768764,-0.00053642998654746,0.000340157462757092,-0.00124136077616201,9.20564778457877e-05,1,"age_cat"
"14","Life Years",-0.000134862499266993,-0.000262981873570635,-6.7431249633496e-06,0.000260401578222648,-0.000645249592583382,0.000375524594049397,1,"age_cat"
"15","effect_disc",0.00194280242688145,0.00191670418001587,0.00196890067374703,0.00095939525349673,6.23877300278627e-05,0.00382321712373504,1,"age_cat"
"16","HCE_disc",84.7827700599485,77.6096606245773,91.9558794953198,39.0183148251887,8.30687300257867,161.258667117318,1,"age_cat"
"17","Prod_cost",-224.417912082566,-258.358141457053,-190.47768270808,111.521364245844,-442.999786004421,-5.83603816071127,1,"age_cat"
"18","Prod_cost_disc",-224.417912082566,-258.358141457053,-190.47768270808,111.521364245844,-442.999786004421,-5.83603816071127,1,"age_cat"
"19","Policy_cost",74171.3057071557,46561.9317322458,101780.679682066,41104.3424774909,-6393.20554872642,154735.816963038,1,"age_cat"
"20","Total_cost_health",74256.0884772156,46653.8876117411,101858.28934269,41093.6807367324,-6287.52576677995,154799.702721211,1,"age_cat"
"21","Total_cost_societ",74031.6705651331,46395.5294702841,101667.811659982,41144.2401720776,-6611.04017213901,154674.381302405,1,"age_cat"
"22","Subject_ID",0,0,0,0,0,0,2,"age_cat"
"23","Incident DM",2.2075870485988e-05,-0.000261629283180537,0.000305781024152513,0.00117644840907892,-0.0022837630113087,0.00232791475228067,2,"age_cat"
"24","Incident CHD",-0.00958794506381857,-0.0138748927683477,-0.00530099735928941,0.0171478730710342,-0.0431977762830457,0.0240218861554085,2,"age_cat"
"25","Incident Stroke",0.0108889776773498,0.00677007771042166,0.015007877644278,0.0170805924338943,-0.0225889834930831,0.0443669388477827,2,"age_cat"
"26","Incident First CHD",-0.00958794506381857,-0.0138748927683477,-0.00530099735928941,0.0171478730710342,-0.0431977762830457,0.0240218861554085,2,"age_cat"
"27","Incident First Stroke",0.0108889776773498,0.00677007771042166,0.015007877644278,0.0170805924338943,-0.0225889834930831,0.0443669388477827,2,"age_cat"
"28","Incident Recurrent CHD",0,0,0,0,0,0,2,"age_cat"
"29","Incident Recurrent Stroke",0,0,0,0,0,0,2,"age_cat"
"30","Death",-0.000432687061525367,-0.00116292999682712,0.000297555873776384,0.00143256935944597,-0.00324052300603947,0.00237514888298874,2,"age_cat"
"31","CHD_Death",0,0,0,0,0,0,2,"age_cat"
"32","Stroke_Death",0,0,0,0,0,0,2,"age_cat"
"33","DM_Death",0,0,0,0,0,0,2,"age_cat"
"34","Non_DM_Non_CVD_Death",-0.000432687061525367,-0.00116292999682712,0.000297555873776384,0.00143256935944597,-0.00324052300603947,0.00237514888298874,2,"age_cat"
"35","Life Years",0.000890421422491871,4.45210711245934e-05,0.00173632177385915,0.0016631563876871,-0.00236936509737485,0.00415020794235859,2,"age_cat"
