"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","Subject_ID",12090959019.28,12090959019.28,12090959019.28,87538545.9994989,11919383469.121,12262534569.439,12090959019.28,12090959019.28,12090959019.28,87538545.9994989,11919383469.121,12262534569.439,0,0,0,0,0,0
"2","Incident DM",322170.045,311272.25775,333067.83225,20404.2228945636,282177.768126655,362162.321873345,324485.405,313470.57775,335500.23225,20570.7169130507,284166.799850421,364804.010149579,2315.36,2198.32,2432.4,1817.90131264631,-1247.72657278677,5878.44657278677
"3","Incident CHD",1432996.81,1431180.4955,1434813.1245,20851.8018169321,1392127.27843881,1473866.34156119,1487413.64,1486134.256,1488693.024,20838.684646682,1446569.8180925,1528257.4619075,54416.83,51321.1315,57512.5285,26726.3387086735,2033.20613099989,106800.453869
"4","Incident Stroke",1456545.445,1447141.73225,1465949.15775,25008.1002465505,1407529.56851676,1505561.32148324,1401558.955,1389465.63075,1413652.27925,27361.4953937226,1347930.4240283,1455187.4859717,-54986.49,-57676.1015,-52296.8785,26644.4240424669,-107209.561123235,-2763.41887676491
"5","Incident First CHD",1432996.81,1431180.4955,1434813.1245,20851.8018169321,1392127.27843881,1473866.34156119,1487413.64,1486134.256,1488693.024,20838.684646682,1446569.8180925,1528257.4619075,54416.83,51321.1315,57512.5285,26726.3387086735,2033.20613099989,106800.453869
"6","Incident First Stroke",1456545.445,1447141.73225,1465949.15775,25008.1002465505,1407529.56851676,1505561.32148324,1401558.955,1389465.63075,1413652.27925,27361.4953937226,1347930.4240283,1455187.4859717,-54986.49,-57676.1015,-52296.8785,26644.4240424669,-107209.561123235,-2763.41887676491
"7","Incident Recurrent CHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Incident Recurrent Stroke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Death",57775.23,55631.631,59918.829,5674.97983748862,46652.2695185223,68898.1904814777,55885.455,53624.23175,58146.67825,5685.39921468739,44742.0725392127,67028.8374607873,-1889.775,-2007.39925,-1772.15075,1069.13814239794,-3985.28575909997,205.73575909997
"10","CHD_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Stroke_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","DM_Death",69.465,3.47324999999999,135.45675,138.934677388623,-202.846967681701,341.776967681701,69.465,3.47324999999999,135.45675,138.934677388623,-202.846967681701,341.776967681701,0,0,0,0,0,0
"13","Non_DM_Non_CVD_Death",57705.765,55496.17425,59915.35575,5730.11746674397,46474.7347651818,68936.7952348182,55815.99,53488.775,58143.205,5743.4329470425,44558.8614237967,67073.1185762033,-1889.775,-2007.39925,-1772.15075,1069.13814239794,-3985.28575909997,205.73575909997
"14","Life Years",3270561.365,3268678.84975,3272443.88025,5525.36674955998,3259731.64617086,3281391.08382914,3270417.29,3267894.0235,3272940.5565,6074.85013555536,3258510.58373431,3282323.99626569,-144.075,-784.82625,496.67625,1141.93381693037,-2382.26528118353,2094.11528118353
"15","effect_disc",5719238.45631631,5614862.65969155,5823614.25294107,155472.729554393,5414511.9063897,6023965.00624292,5725012.43787608,5620520.51145797,5829504.3642942,155645.142202325,5419947.95915953,6030076.91659264,5773.98155977017,5657.85176641411,5890.11135312622,2971.2736147945,-49.7147252270571,11597.6778447674
"16","HCE_disc",20774258782.1086,20445002502.6173,21103515061.5999,503952978.962298,19786510943.3425,21762006620.8747,21014052556.9907,20703355259.3283,21324749854.6532,477300170.076155,20078544223.6415,21949560890.34,239793774.882167,221234793.053283,258352756.71105,118940384.745842,6670620.78031728,472916928.984016
"17","Prod_cost",40132094228.9924,37578268953.1123,42685919504.8726,3812013559.98508,32660547651.4216,47603640806.5632,39495316429.4494,37030809939.2404,41959822919.6584,3679239678.7102,32284006659.1774,46706626199.7214,-636777799.543052,-726096585.214175,-547459013.871929,334195417.144849,-1291800817.14696,18245218.0608526
"18","Prod_cost_disc",40132094228.9924,37578268953.1123,42685919504.8726,3812013559.98508,32660547651.4216,47603640806.5632,39495316429.4494,37030809939.2404,41959822919.6584,3679239678.7102,32284006659.1774,46706626199.7214,-636777799.543052,-726096585.214175,-547459013.871929,334195417.144849,-1291800817.14696,18245218.0608526
"19","Policy_cost",0,0,0,0,0,0,245593303270.797,154172937672.696,337013668868.899,136102397351.985,-21167395539.0927,512354002080.688,245593303270.797,154172937672.696,337013668868.899,136102397351.985,-21167395539.0927,512354002080.688
"20","Total_cost_health",20774258782.1086,20445002502.6173,21103515061.5999,503952978.962298,19786510943.3425,21762006620.8747,266607355827.788,174876292932.024,358338418723.552,136565077036.912,-1060195164.55919,534274906820.135,245833097045.68,154431290429.407,337234903661.952,136074817780.946,-20873545804.9737,512539739896.333
"21","Total_cost_societ",60906353011.101,58681784014.7122,63130922007.4898,3323280885.78902,54392722474.9545,67419983547.2475,306102672257.237,216836115851.682,395369228662.792,132896451293.377,45625627722.2186,566579716792.256,245196319246.137,153705193844.193,336687444648.08,136207876798.273,-21771119278.4778,512163757770.751
