"","Outcome","mean","LL","UL","se","LL2","UL2","cat","catvar"
"1","Subject_ID",0,0,0,0,0,0,1,"age_cat"
"2","Incident DM",0.000755187158866498,0.000739150128640915,0.000771224189092082,0.000586990144085976,-0.000395313523542014,0.00190568784127501,1,"age_cat"
"3","Incident CHD",0.0188824518454792,0.0174318769488294,0.0203330267421289,0.00880208702034035,0.00163036128561208,0.0361345424053463,1,"age_cat"
"4","Incident Stroke",-0.0191978493544545,-0.0204981197444156,-0.0178975789644935,0.00875459870840799,-0.0363568628229342,-0.00203883588597488,1,"age_cat"
"5","Incident First CHD",0.0188824518454792,0.0174318769488294,0.0203330267421289,0.00880208702034035,0.00163036128561208,0.0361345424053463,1,"age_cat"
"6","Incident First Stroke",-0.0191978493544545,-0.0204981197444156,-0.0178975789644935,0.00875459870840799,-0.0363568628229342,-0.00203883588597488,1,"age_cat"
"7","Incident Recurrent CHD",0,0,0,0,0,0,1,"age_cat"
"8","Incident Recurrent Stroke",0,0,0,0,0,0,1,"age_cat"
"9","Death",-0.000574652149158112,-0.000612874311768764,-0.00053642998654746,0.000340157462757092,-0.00124136077616201,9.20564778457877e-05,1,"age_cat"
"10","CHD_Death",0,0,0,0,0,0,1,"age_cat"
"11","Stroke_Death",0,0,0,0,0,0,1,"age_cat"
"12","DM_Death",0,0,0,0,0,0,1,"age_cat"
"13","Non_DM_Non_CVD_Death",-0.000574652149158112,-0.000612874311768764,-0.00053642998654746,0.000340157462757092,-0.00124136077616201,9.20564778457877e-05,1,"age_cat"
"14","Life Years",-0.000134862499266993,-0.000262981873570635,-6.7431249633496e-06,0.000260401578222648,-0.000645249592583382,0.000375524594049397,1,"age_cat"
"15","effect_disc",0.00195857835613991,0.00193944729332398,0.00197770941895584,0.000957736527563923,8.14147621146172e-05,0.0038357419501652,1,"age_cat"
"16","HCE_disc",82.5878657688262,74.4765498436517,90.6991816940007,39.3934713791877,5.37666186561822,159.799069672034,1,"age_cat"
"17","Prod_cost",-223.82952939954,-259.245977116845,-188.413081682236,112.489255752215,-444.308470673882,-3.35058812519787,1,"age_cat"
"18","Prod_cost_disc",-223.82952939954,-259.245977116845,-188.413081682236,112.489255752215,-444.308470673882,-3.35058812519787,1,"age_cat"
"19","Policy_cost",74122.0024382611,46531.0134445288,101712.991431993,41076.9804257176,-6388.87919614544,154632.884072668,1,"age_cat"
"20","Total_cost_health",74204.5903040299,46621.7126262228,101787.467981837,41064.9219205817,-6282.65666031009,154691.83726837,1,"age_cat"
"21","Total_cost_societ",73980.7607746304,46362.4666491059,101599.054900155,41117.6788927994,-6609.88985525638,154571.411404517,1,"age_cat"
"22","Subject_ID",0,0,0,0,0,0,2,"age_cat"
"23","Incident DM",7.90702281285201e-05,-0.0001504902857776,0.00030863074203464,0.00114713187533225,-0.0021693082475227,0.00232744870377974,2,"age_cat"
"24","Incident CHD",-0.00969268373755399,-0.0140791331821318,-0.00530623429297618,0.0172029993218747,-0.0434105624084285,0.0240251949333205,2,"age_cat"
"25","Incident Stroke",0.0109937163510852,0.00677531464410843,0.0152121180580621,0.0171337714353939,-0.0225884756622867,0.0445759083644572,2,"age_cat"
"26","Incident First CHD",-0.00969268373755399,-0.0140791331821318,-0.00530623429297618,0.0172029993218747,-0.0434105624084285,0.0240251949333205,2,"age_cat"
"27","Incident First Stroke",0.0109937163510852,0.00677531464410843,0.0152121180580621,0.0171337714353939,-0.0225884756622867,0.0445759083644572,2,"age_cat"
"28","Incident Recurrent CHD",0,0,0,0,0,0,2,"age_cat"
"29","Incident Recurrent Stroke",0,0,0,0,0,0,2,"age_cat"
"30","Death",-0.000489681419167899,-0.00127406899423006,0.000294706155894258,0.00149251684633768,-0.00341501443798975,0.00243565159965395,2,"age_cat"
"31","CHD_Death",0,0,0,0,0,0,2,"age_cat"
"32","Stroke_Death",0,0,0,0,0,0,2,"age_cat"
"33","DM_Death",0,0,0,0,0,0,2,"age_cat"
"34","Non_DM_Non_CVD_Death",-0.000489681419167899,-0.00127406899423006,0.000294706155894258,0.00149251684633768,-0.00341501443798975,0.00243565159965395,2,"age_cat"
"35","Life Years",0.000890421422491871,4.45210711245934e-05,0.00173632177385915,0.0016631563876871,-0.00236936509737485,0.00415020794235859,2,"age_cat"
"36","effect_disc",-0.00057020905786919,-0.00115505320020235,1.4635084463972e-05,0.002190397799689,-0.00486338874525964,0.00372297062952126,2,"age_cat"
"37","HCE_disc",-36.3970894469716,-56.7334019724465,-16.0607769214966,76.2457577220718,-185.838774582232,113.044595688289,2,"age_cat"
"38","Prod_cost",142.664095434262,81.6858418601467,203.642349008378,207.024797696444,-263.104508050768,548.432698919292,2,"age_cat"
"39","Prod_cost_disc",142.664095434262,81.6858418601467,203.642349008378,207.024797696444,-263.104508050768,548.432698919292,2,"age_cat"
"40","Policy_cost",69336.6665240352,43522.5001803651,95150.8328677054,38443.8303554454,-6013.24097263769,144686.574020708,2,"age_cat"
"41","Total_cost_health",69300.2694345882,43465.7667783926,95134.7720907839,38474.1757865475,-6109.11510704493,144709.653976221,2,"age_cat"
"42","Total_cost_societ",69442.9335300225,43669.409127401,95216.457932644,38383.5015979815,-5788.72960202131,144674.596662066,2,"age_cat"
"43","Subject_ID",0,0,0,0,0,0,2,"GENDER"
"44","Incident DM",0.000914258738103624,0.000739426172847519,0.00108909130335973,0.000804001680094062,-0.000661584554880737,0.00249010203108799,2,"GENDER"
"45","Incident CHD",0.014851784977973,0.0111961548417398,0.0185074151142062,0.00585610288490803,0.00337382332355329,0.0263297466323928,2,"GENDER"
"46","Incident Stroke",-0.0151780030041342,-0.0184498270292781,-0.0119061789789902,0.00536435390185587,-0.0256921366517717,-0.00466386935649666,2,"GENDER"
"47","Incident First CHD",0.014851784977973,0.0111961548417398,0.0185074151142062,0.00585610288490803,0.00337382332355329,0.0263297466323928,2,"GENDER"
"48","Incident First Stroke",-0.0151780030041342,-0.0184498270292781,-0.0119061789789902,0.00536435390185587,-0.0256921366517717,-0.00466386935649666,2,"GENDER"
"49","Incident Recurrent CHD",0,0,0,0,0,0,2,"GENDER"
"50","Incident Recurrent Stroke",0,0,0,0,0,0,2,"GENDER"
"51","Death",-0.000494390032593471,-0.000964060563557269,-2.47195016296735e-05,0.000828265646465689,-0.00211779069966622,0.00112901063447928,2,"GENDER"
"52","CHD_Death",0,0,0,0,0,0,2,"GENDER"
"53","Stroke_Death",0,0,0,0,0,0,2,"GENDER"
"54","DM_Death",0,0,0,0,0,0,2,"GENDER"
"55","Non_DM_Non_CVD_Death",-0.000494390032593471,-0.000964060563557269,-2.47195016296735e-05,0.000828265646465689,-0.00211779069966622,0.00112901063447928,2,"GENDER"
"56","Life Years",9.36506793490045e-05,4.68253396745021e-06,0.000182618824730559,0.000210893147412065,-0.000319699889578644,0.000507001248276652,2,"GENDER"
"57","effect_disc",0.00171885629921102,0.0015795236247974,0.00185818897362464,0.000390356523743317,0.000953757512674118,0.00248395508574792,2,"GENDER"
"58","HCE_disc",65.1888127290717,46.2387597869492,84.1388656711941,29.8519356198248,6.67901891421506,123.698606543928,2,"GENDER"
"59","Prod_cost",-179.322806489977,-230.718476656637,-127.927136323317,81.3420902799239,-338.753303438628,-19.8923095413263,2,"GENDER"
"60","Prod_cost_disc",-179.322806489977,-230.718476656637,-127.927136323317,81.3420902799239,-338.753303438628,-19.8923095413263,2,"GENDER"
"61","Policy_cost",74116.8184900748,46445.7807524024,101787.856227747,41197.8445587249,-6630.95684502601,154864.593825176,2,"GENDER"
"62","Total_cost_health",74182.0073028039,46529.9196180736,101834.094987534,41169.63263155,-6510.47265503416,154874.487260642,2,"GENDER"
"63","Total_cost_societ",74002.6844963139,46299.201141417,101706.167851211,41246.1550458287,-6839.77939351037,154845.148386138,2,"GENDER"
"64","Subject_ID",0,0,0,0,0,0,1,"GENDER"
"65","Incident DM",0.000441288666747899,0.000315068999787178,0.00056750833370862,0.00079501375380047,-0.00111693829070102,0.00199951562419682,1,"GENDER"
"66","Incident CHD",0.0180341677608173,0.0158142900791729,0.0202540454424617,0.0171599052532241,-0.0155992465355019,0.0516675820571365,1,"GENDER"
"67","Incident Stroke",-0.0180257848311777,-0.020065013935287,-0.0159865557270685,0.0171060937858248,-0.0515537286513944,0.0155021589890389,1,"GENDER"
