"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","Subject_ID",3628.09226426834,3628.09226426834,3628.09226426834,26.267388803456,3576.60818221357,3679.57634632311,3628.09226426834,3628.09226426834,3628.09226426834,26.267388803456,3576.60818221357,3679.57634632311,0,0,0,0,0,0
"2","Incident DM",0.889672384468635,0.859302098739812,0.920042670197458,0.0586016179254716,0.774813213334711,1.00453155560256,0.691599871804372,0.670303012805514,0.712896730803229,0.0463227056252934,0.600807368778796,0.782392374829947,-0.198072512664263,-0.249739657391944,-0.146405367936583,0.0857164069917787,-0.36607667036815,-0.0300683549603772
"3","Incident CHD",0.652683938884919,0.644602342576285,0.660765535193553,0.0138491552681232,0.625539594559398,0.679828283210441,0.658589383464498,0.656148179057892,0.661030587871105,0.0077955910882677,0.643310024931494,0.673868741997503,0.00590544457957908,0.000265052677551668,0.0115458364816065,0.0118001712427903,-0.0172228910562898,0.029033780215448
"4","Incident Stroke",0.646610643082989,0.645395207650458,0.647826078515519,0.0093482427545812,0.62828808728401,0.664933198881968,0.632804862040596,0.626327340673413,0.63928238340778,0.0132577768271908,0.606819619459302,0.65879010462189,-0.0138057810423924,-0.0190678669770451,-0.0085436951077397,0.0136467890838473,-0.0405534876467331,0.0129419255619483
"5","Incident First CHD",0.462702849558512,0.456529980950516,0.468875718166509,0.0111117741111311,0.440923772300695,0.484481926816329,0.472584643925468,0.466814047974651,0.478355239876284,0.0106205263107614,0.451768412356375,0.49340087549456,0.00988179436695523,0.00947952170977532,0.0102840670241351,0.0082040603693696,-0.00619816395700919,0.0259617526909196
"6","Incident First Stroke",0.456629553756582,0.453505390623414,0.45975371688975,0.00777882148844215,0.441383063639235,0.471876043873929,0.446800122501566,0.443651992678592,0.449948252324539,0.00779756415508187,0.431516896757605,0.462083348245526,-0.00982943125501625,-0.00985339794482145,-0.00980546456521105,0.00818123934940078,-0.0258646603798418,0.00620579786980927
"7","Incident Recurrent CHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Incident Recurrent Stroke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Incident CHD+Stroke",0.0418715418493774,0.0404043172055749,0.04333876649318,0.0034304807509859,0.0351477995774451,0.0485952841213098,0.0451945912621691,0.0433722819004897,0.0470169006238485,0.00385981294395096,0.0376293578920252,0.052759824632313,0.00332304941279168,3.35154073096938e-05,0.00661258341827367,0.00561806091113502,-0.00768834997303295,0.0143344487986163
"10","Incident Stroke+CHD",0.148109547477029,0.144733595132589,0.151485499821469,0.0068043430976319,0.134773035005671,0.161446059948388,0.140810148276862,0.135658447370972,0.145961849182751,0.00888937318090271,0.123386976842292,0.158233319711431,-0.00729939920016783,-0.0158270524504973,0.00122825405016166,0.0136149850575328,-0.0339847699129321,0.0193859715125965
"11","Death",0.477835224783778,0.47698953629559,0.478680913271965,0.00638482497711784,0.465320967828627,0.490349481738929,0.477752592459399,0.477041014811363,0.478464170107435,0.00634843663520986,0.465309656654387,0.49019552826441,-8.26323243789896e-05,-0.00021674316453068,5.14785157727008e-05,0.000259651368334857,-0.00059154900631531,0.000426284357557331
"12","CHD_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Stroke_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","DM_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Non_DM_Non_CVD_Death",0.477835224783778,0.47698953629559,0.478680913271965,0.00638482497711784,0.465320967828627,0.490349481738929,0.477752592459399,0.477041014811363,0.478464170107435,0.00634843663520986,0.465309656654387,0.49019552826441,-8.26323243789896e-05,-0.00021674316453068,5.14785157727008e-05,0.000259651368334857,-0.00059154900631531,0.000426284357557331
"16","Life Years",46.450148084939,46.4042060486249,46.4960901212531,0.120034128691853,46.214881192703,46.685414977175,46.5074672009115,46.4923282489778,46.5226061528452,0.102171335825474,46.3072113826936,46.7077230191295,0.0573191159725198,0.0265160315921338,0.0881222003529059,0.0705759564813984,-0.081009758731021,0.195647990676061
"17","effect_disc",16.5334422588668,16.4758494238446,16.5910350938889,0.101928249885987,16.3336628890902,16.7332216286433,16.5806337108698,16.5015132874799,16.6597541342597,0.130427729396714,16.3249953612523,16.8362720604874,0.0471914520030494,0.025663863635275,0.0687190403708238,0.0468394771555929,-0.0446139232219128,0.138996827228012
"18","HCE_disc",11140.4175877172,11011.9937422548,11268.8414331795,205.905564752317,10736.8426808026,11543.9924946317,10870.0031899016,10722.0072610965,11017.9991187066,232.325435967161,10414.6453354059,11325.3610443972,-270.41439781563,-289.986481158309,-250.842314472951,74.3276635424946,-416.096618358919,-124.73217727234
"19","Prod_cost",25570.9453349704,24076.2011677279,27065.6895022129,2244.98364223188,21170.777396196,29971.1132737449,24396.8267936178,22739.3604199056,26054.2931673301,2483.72325642084,19528.729211033,29264.9243762027,-1174.11854135261,-1336.84074782236,-1011.39633488286,387.662749529754,-1933.93753043093,-414.299552274293
