"","Outcome","mean.No_Policy","LL.No_Policy","UL.No_Policy","se.No_Policy","LL2.No_Policy","UL2.No_Policy","mean.Policy","LL.Policy","UL.Policy","se.Policy","LL2.Policy","UL2.Policy","mean.Diff1","LL.Diff1","UL.Diff1","se.Diff1","LL2.Diff1","UL2.Diff1"
"1","Subject_ID",3628.09226426834,3628.09226426834,3628.09226426834,26.267388803456,3576.60818221357,3679.57634632311,3628.09226426834,3628.09226426834,3628.09226426834,26.267388803456,3576.60818221357,3679.57634632311,0,0,0,0,0,0
"2","Incident DM",0.0970421138650865,0.0936601951475555,0.100424032582617,0.00625917082333054,0.0847741390513586,0.109310088678814,0.097656056011669,0.0943061185362344,0.101005993487104,0.00622840137486684,0.08544838931693,0.109863722706408,0.000613942146582542,0.000581960904486257,0.000645923388678827,0.000555271354341809,-0.000474389707927403,0.00170227400109249
"3","Incident CHD",0.430024300828903,0.429612913275422,0.430435688382384,0.00623421123872381,0.417805246801005,0.442243354856802,0.446672303156603,0.446304617219305,0.447039989093901,0.00625130465427589,0.434419746034223,0.458924860278984,0.0166480023277002,0.015868928836921,0.0174270758184794,0.00798722390986141,0.000993043464371814,0.0323029611910286
"4","Incident Stroke",0.437284302792419,0.434301359975986,0.440267245608852,0.00764110071849068,0.422307745384177,0.45226086020066,0.420625541578849,0.416977090180564,0.424273992977135,0.00822998949112255,0.404494762176249,0.43675632098145,-0.0166587612135692,-0.0173242697954213,-0.0159932526317171,0.00796892166262247,-0.0322778476723092,-0.00103967475482916
"5","Incident First CHD",0.430024300828903,0.429612913275422,0.430435688382384,0.00623421123872381,0.417805246801005,0.442243354856802,0.446672303156603,0.446304617219305,0.447039989093901,0.00625130465427589,0.434419746034223,0.458924860278984,0.0166480023277002,0.015868928836921,0.0174270758184794,0.00798722390986141,0.000993043464371814,0.0323029611910286
"6","Incident First Stroke",0.437284302792419,0.434301359975986,0.440267245608852,0.00764110071849068,0.422307745384177,0.45226086020066,0.420625541578849,0.416977090180564,0.424273992977135,0.00822998949112255,0.404494762176249,0.43675632098145,-0.0166587612135692,-0.0173242697954213,-0.0159932526317171,0.00796892166262247,-0.0322778476723092,-0.00103967475482916
"7","Incident Recurrent CHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Incident Recurrent Stroke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Death",0.0173313198588293,0.0166832585710542,0.0179793811466043,0.00170692481514181,0.0139857472211513,0.0206768924965072,0.016769355238679,0.0160908377970082,0.0174478726803498,0.00170599967821184,0.0134255958693838,0.0201131146079742,-0.000561964620150235,-0.000592420774046011,-0.00053150846625446,0.000319792796434658,-0.00118875850116217,6.4829260861695e-05
"10","CHD_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Stroke_Death",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","DM_Death",2.08441223508843e-05,1.04220611754421e-06,4.06460385842244e-05,4.1689648229599e-05,-6.08675881791297e-05,0.000102555832880898,2.08441223508843e-05,1.04220611754421e-06,4.06460385842244e-05,4.1689648229599e-05,-6.08675881791297e-05,0.000102555832880898,0,0,0,0,0,0
"13","Non_DM_Non_CVD_Death",0.0173104757364784,0.01664261253247,0.0179783389404868,0.00172355408466772,0.0139323097305296,0.0206886417424271,0.0167485111163281,0.016050191758424,0.0174468304742323,0.00172341364343422,0.0133706203751971,0.0201264018574592,-0.000561964620150235,-0.000592420774046011,-0.00053150846625446,0.000319792796434658,-0.00118875850116217,6.4829260861695e-05
"14","Life Years",0.982088710028158,0.981514937639541,0.982662482416776,0.00163495477319845,0.978884198672689,0.985293221383627,0.982045477941097,0.98127943754051,0.982811518341684,0.00180404601119289,0.978509547759159,0.985581408123035,-4.32320870611625e-05,-0.000235500099030961,0.000149035924908636,0.000342656131817592,-0.000714838105423642,0.000628373931301318
"15","effect_disc",1.71672176820701,1.68536706527162,1.74807647114241,0.0467037596645452,1.6251823992645,1.80826113714952,1.71844129367926,1.68705763681938,1.74982495053915,0.0467467045644145,1.62681775273301,1.81006483462552,0.0017195254722502,0.00169057154776118,0.00174847939673922,0.000892267266012694,-2.93183691346796e-05,0.00346836931363508
